"","leg_party","leg_republican","leg_black","leg_latino","reply_atall","treat_deshawn","treat_demprimary","treat_repprimary","treat_noprimary","treat_group","treat_jake","leg_notwhite","leg_white","leg_notblackotherminority","treat_primary"
"1","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"2","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"3","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"4","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"5","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"6","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"7","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"8","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"9","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"10","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"11","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"12","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"13","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"14","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"15","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"16","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"17","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"18","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"19","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"20","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"21","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"22","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"23","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"24","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"25","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"26","D",0,1,0,1,0,0,1,0,3,1,1,0,0,1
"27","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"28","D",0,0,0,1,1,1,0,0,4,0,1,0,1,1
"29","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"30","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"31","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"32","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"33","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"34","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"35","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"36","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"37","D",0,0,0,1,0,1,0,0,5,1,1,0,1,1
"38","R",1,0,0,1,0,0,0,1,0,1,1,0,1,0
"39","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"40","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"41","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"42","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"43","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"44","D",0,0,0,1,0,0,1,0,3,1,1,0,1,1
"45","D",0,0,0,0,0,0,0,1,0,1,1,0,1,0
"46","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"47","D",0,0,0,1,1,0,0,1,6,0,1,0,1,0
"48","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"49","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"50","D",0,1,0,0,1,1,0,0,4,0,1,0,0,1
"51","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"52","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"53","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"54","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"55","D",0,1,0,0,1,0,0,1,6,0,1,0,0,0
"56","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"57","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"58","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"59","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"60","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"61","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"62","D",0,1,0,0,1,1,0,0,4,0,1,0,0,1
"63","D",0,1,0,0,1,0,0,1,6,0,1,0,0,0
"64","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"65","D",0,1,0,1,0,0,0,1,0,1,1,0,0,0
"66","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"67","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"68","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"69","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"70","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"71","D",0,1,0,0,0,0,0,1,0,1,1,0,0,0
"72","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"73","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"74","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"75","D",0,1,0,1,1,0,1,0,2,0,1,0,0,1
"76","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"77","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"78","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"79","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"80","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"81","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"82","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"83","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"84","D",0,1,0,0,1,0,0,1,6,0,1,0,0,0
"85","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"86","D",0,1,0,0,1,0,0,1,6,0,1,0,0,0
"87","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"88","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"89","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"90","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"91","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"92","D",0,1,0,1,1,0,0,1,6,0,1,0,0,0
"93","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"94","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"95","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"96","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"97","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"98","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"99","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"100","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"101","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"102","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"103","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"104","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"105","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"106","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"107","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"108","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"109","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"110","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"111","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"112","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"113","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"114","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"115","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"116","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"117","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"118","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"119","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"120","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"121","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"122","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"123","D",0,1,0,0,1,0,0,1,6,0,1,0,0,0
"124","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"125","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"126","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"127","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"128","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"129","D",0,1,0,0,1,1,0,0,4,0,1,0,0,1
"130","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"131","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"132","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"133","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"134","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"135","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"136","D",0,1,0,1,0,0,0,1,0,1,1,0,0,0
"137","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"138","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"139","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"140","D",0,1,0,0,1,1,0,0,4,0,1,0,0,1
"141","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"142","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"143","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"144","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"145","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"146","D",0,1,0,1,0,0,1,0,3,1,1,0,0,1
"147","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"148","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"149","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"150","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"151","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"152","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"153","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"154","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"155","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"156","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"157","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"158","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"159","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"160","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"161","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"162","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"163","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"164","D",0,1,0,0,0,0,0,1,0,1,1,0,0,0
"165","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"166","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"167","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"168","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"169","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"170","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"171","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"172","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"173","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"174","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"175","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"176","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"177","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"178","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"179","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"180","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"181","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"182","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"183","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"184","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"185","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"186","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"187","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"188","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"189","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"190","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"191","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
