"","region","year","pmwar","partyid","likelyvote","pmtherm","perception_economy","birthyr","education","marital_status","income","race","gender","white","female","age","low_attention","married","partstrength","besid","region_cas","population","income_pc","unemploy_rate","pctwhite","weights"
"1",1,2005,3,1,10,7,3,61,NA,6,3,1,1,1,0,45,0,0,0,1709,7,5388154,14370,3.6,0.9511612,NA
"2",1,2005,5,NA,10,0,3,45,10,1,4,1,1,1,0,61,0,1,NA,7448,7,5388154,14370,3.6,0.9511612,NA
"3",1,2005,3,NA,5,10,2,75,NA,1,6,1,2,1,1,31,0,1,NA,4657,7,5388154,14370,3.6,0.9511612,NA
"4",1,2005,2,NA,4,5,4,70,NA,1,3,1,1,1,0,36,0,1,NA,1525,7,5388154,14370,3.6,0.9511612,NA
"5",1,2005,3,NA,2,3,2,83,7,6,4,1,2,1,1,23,1,0,NA,5625,7,5388154,14370,3.6,0.9511612,NA
"6",1,2005,3,NA,7,7,NA,66,7,1,8,1,1,1,0,40,0,1,NA,6771,7,5388154,14370,3.6,0.9511612,NA
"7",1,2005,2,NA,10,9,4,72,1,1,11,1,1,1,0,34,0,1,NA,2386,7,5388154,14370,3.6,0.9511612,NA
"8",1,2005,4,10,8,4,4,49,6,1,8,1,1,1,0,57,0,1,0,2276,7,5388154,14370,3.6,0.9511612,NA
"9",1,2005,3,2,9,9,4,80,2,6,13,1,1,1,0,26,0,0,0,2104,7,5388154,14370,3.6,0.9511612,NA
"10",1,2005,1,1,10,10,4,42,NA,1,3,1,1,1,0,64,0,1,1,7134,7,5388154,14370,3.6,0.9511612,NA
"11",1,2005,3,NA,10,7,3,41,6,4,3,1,1,1,0,65,0,0,NA,3655,7,5388154,14370,3.6,0.9511612,NA
"12",1,2005,2,2,10,7,2,48,1,1,NA,1,2,1,1,58,0,1,0,7783,7,5388154,14370,3.6,0.9511612,NA
"13",1,2005,5,2,10,0,2,49,1,1,NA,1,1,1,0,57,0,1,0,4208,7,5388154,14370,3.6,0.9511612,NA
"14",1,2005,4,3,10,10,2,57,4,1,3,1,2,1,1,49,0,1,0,2740,7,5388154,14370,3.6,0.9511612,NA
"15",1,2005,4,9,10,0,1,45,NA,1,5,1,2,1,1,61,0,1,1,4655,7,5388154,14370,3.6,0.9511612,NA
"16",1,2005,5,NA,2,4,3,47,5,5,6,1,2,1,1,59,1,0,NA,5991,7,5388154,14370,3.6,0.9511612,NA
"17",1,2005,5,NA,10,3,3,50,2,1,NA,1,2,1,1,56,0,1,NA,5140,7,5388154,14370,3.6,0.9511612,NA
"18",1,2005,5,NA,10,3,2,63,NA,1,3,1,2,1,1,43,0,1,NA,6082,7,5388154,14370,3.6,0.9511612,NA
"19",1,2005,5,2,10,0,2,67,10,1,3,1,1,1,0,39,0,1,0,5694,7,5388154,14370,3.6,0.9511612,NA
"20",1,2005,3,1,10,8,3,42,NA,5,5,1,1,1,0,64,0,0,0,6769,7,5388154,14370,3.6,0.9511612,NA
"21",1,2005,2,NA,8,6,NA,85,7,6,10,1,1,1,0,21,0,0,NA,4169,7,5388154,14370,3.6,0.9511612,NA
"22",1,2005,5,3,10,4,2,46,2,1,NA,1,2,1,1,60,0,1,0,889,7,5388154,14370,3.6,0.9511612,NA
"23",1,2005,5,NA,10,0,2,46,7,1,8,1,1,1,0,60,0,1,NA,3422,7,5388154,14370,3.6,0.9511612,NA
"24",1,2005,5,NA,10,4,3,41,18,1,5,1,1,1,0,65,0,1,NA,2511,7,5388154,14370,3.6,0.9511612,NA
"25",1,2005,5,1,10,5,3,50,1,1,9,1,1,1,0,56,0,1,0,634,7,5388154,14370,3.6,0.9511612,NA
"26",1,2005,4,NA,10,8,3,46,2,3,5,1,1,1,0,60,0,0,NA,2682,7,5388154,14370,3.6,0.9511612,NA
"27",1,2005,2,1,10,9,5,48,10,1,6,1,2,1,1,58,0,1,0,2427,7,5388154,14370,3.6,0.9511612,NA
"28",1,2005,2,NA,10,3,4,85,7,6,8,1,1,1,0,21,0,0,NA,6430,7,5388154,14370,3.6,0.9511612,NA
"29",1,2005,5,NA,10,0,2,64,10,1,9,1,1,1,0,42,0,1,NA,1343,7,5388154,14370,3.6,0.9511612,NA
"30",1,2005,5,NA,8,0,4,68,12,1,5,1,2,1,1,38,0,1,NA,7230,7,5388154,14370,3.6,0.9511612,NA
"31",1,2005,5,2,10,1,3,79,3,6,NA,1,1,1,0,27,0,0,0,3198,7,5388154,14370,3.6,0.9511612,NA
"32",1,2005,1,NA,10,8,3,51,2,3,6,1,1,1,0,55,0,0,NA,6287,7,5388154,14370,3.6,0.9511612,NA
"33",1,2005,4,NA,9,2,4,39,NA,1,2,1,2,1,1,67,0,1,NA,4366,7,5388154,14370,3.6,0.9511612,NA
"34",1,2005,5,NA,2,1,4,46,2,2,5,1,1,1,0,60,0,0,0,24,7,5388154,14370,3.6,0.9511612,NA
"35",1,2005,3,3,9,5,3,83,2,6,4,1,2,1,1,23,1,0,0,6407,7,5388154,14370,3.6,0.9511612,NA
"36",1,2005,1,10,1,3,3,69,5,6,5,1,2,1,1,37,1,0,0,7671,7,5388154,14370,3.6,0.9511612,NA
"37",1,2005,3,10,10,7,4,83,2,6,13,1,1,1,0,23,0,0,0,1309,7,5388154,14370,3.6,0.9511612,NA
"38",1,2005,1,NA,10,6,4,45,16,1,1,1,1,1,0,61,0,1,NA,3165,7,5388154,14370,3.6,0.9511612,NA
"39",1,2005,5,NA,10,2,2,28,NA,1,4,1,1,1,0,78,0,1,NA,455,7,5388154,14370,3.6,0.9511612,NA
"40",1,2005,5,2,10,0,1,41,NA,5,NA,1,2,1,1,65,0,0,0,5948,7,5388154,14370,3.6,0.9511612,NA
"41",1,2005,5,2,10,4,3,50,18,1,8,1,2,1,1,56,1,1,0,5283,7,5388154,14370,3.6,0.9511612,NA
"42",1,2005,2,NA,10,9,5,48,1,4,11,1,1,1,0,58,0,0,NA,997,7,5388154,14370,3.6,0.9511612,NA
"43",1,2005,5,7,10,0,1,71,10,2,3,1,1,1,0,35,0,0,1,5623,7,5388154,14370,3.6,0.9511612,NA
"44",1,2005,4,2,10,0,2,57,18,1,7,1,1,1,0,49,0,1,0,4656,7,5388154,14370,3.6,0.9511612,NA
